experiment,model,threshold,TP,FP,FN,precision,recall,f1,auprc,value_recall,alert_rate,total_cost,cost_reduction_pct
creditcard_fixed,XGBoost (baseline) @0.5,0.5,80,4,19,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.8398655527956997,0.7399119942072135,0.0014746673220743653,2447.162644067797,0.0
creditcard_fixed,XGBoost (baseline) @cost-optimal,0.059,85,67,14,0.5592105263157895,0.8585858585858586,0.6772908366533864,0.8398655527956997,0.7462364611341505,0.00266844563042028,2083.0824745762716,14.877644948287251
creditcard_fixed,XGBoost (cost-sensitive) @cost-optimal,0.113,85,22,14,0.794392523364486,0.8585858585858586,0.8252427184466019,0.851389885009382,0.7461129086977877,0.001878445279309013,1886.4324745762717,22.91348189916185
creditcard_instance,XGBoost (baseline) @0.5,0.5,80,4,19,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.8398655527956997,0.7399119942072135,0.0014746673220743653,2585.68,0.0
creditcard_instance,XGBoost (baseline) @cost-optimal,0.059,85,67,14,0.5592105263157895,0.8585858585858586,0.6772908366533864,0.8398655527956997,0.7462364611341505,0.00266844563042028,2798.54,-8.232263853222369
creditcard_instance,XGBoost (instance-dependent) @cost-optimal,0.16,85,10,14,0.8947368421052632,0.8585858585858586,0.8762886597938144,0.8669094828768096,0.7461129086977877,0.001667778519012675,2550.669999999999,1.3539958540886992
paysim_fixed,XGBoost (baseline) @0.5,0.5,4256,1,2,0.9997650927883486,0.9995302959135745,0.9996476805637111,0.9995316765732669,0.9998876674890309,0.003291012220115143,2750411.28943937,0.0
paysim_fixed,XGBoost (baseline) @cost-optimal,0.091,4256,1,2,0.9997650927883486,0.9995302959135745,0.9996476805637111,0.9995316765732669,0.9998876674890309,0.003291012220115143,2750411.28943937,0.0
paysim_fixed,XGBoost (cost-sensitive) @cost-optimal,0.001,4250,0,8,1.0,0.9981211836542978,0.999059708509638,0.9981273683143309,0.9998868856559971,0.0032856006425861775,10816806.63775748,-293.2796043737271
paysim_instance,XGBoost (baseline) @0.5,0.5,4256,1,2,0.9997650927883486,0.9995302959135745,0.9996476805637111,0.9995316765732669,0.9998876674890309,0.003291012220115143,799128.93,0.0
paysim_instance,XGBoost (baseline) @cost-optimal,0.52,4253,0,5,1.0,0.9988257397839361,0.9994125249676888,0.9995316765732669,0.999886585320072,0.003287919890098591,760172.6399999999,4.874844163131493
paysim_instance,XGBoost (instance-dependent) @cost-optimal,0.402,4241,3,17,0.9992931196983977,0.9960075152653828,0.9976476123265114,0.9995128422381951,0.9998865707093125,0.00328096214756135,898899.4600000001,-12.484910288506265
