experiment,feature,mean_abs_shap
creditcard_fixed,V14,1.888693
creditcard_fixed,V4,1.8254515
creditcard_fixed,V12,0.78499454
creditcard_fixed,V10,0.68286055
creditcard_fixed,V7,0.3873434
creditcard_fixed,V3,0.3680853
creditcard_fixed,V16,0.36347806
creditcard_fixed,V11,0.357065
creditcard_fixed,Amount,0.35594147
creditcard_fixed,V8,0.3293982
creditcard_fixed,V15,0.32705587
creditcard_fixed,V26,0.32572258
creditcard_fixed,V19,0.32550013
creditcard_fixed,V2,0.30109605
creditcard_fixed,V21,0.29807487
creditcard_fixed,V1,0.27367213
creditcard_fixed,V22,0.27187288
creditcard_fixed,V13,0.25792596
creditcard_fixed,V25,0.25391358
creditcard_fixed,V18,0.25384215
creditcard_fixed,V24,0.24637347
creditcard_fixed,V5,0.23546645
creditcard_fixed,V20,0.22641982
creditcard_fixed,V17,0.19204214
creditcard_fixed,V6,0.17944452
creditcard_fixed,V27,0.17050084
creditcard_fixed,V23,0.16840252
creditcard_fixed,V28,0.16324756
creditcard_fixed,V9,0.15779941
