experiment,feature,mean_abs_shap
creditcard_instance,V4,2.1550047
creditcard_instance,V14,1.8110086
creditcard_instance,V10,1.2647821
creditcard_instance,V12,0.82034725
creditcard_instance,Amount,0.7011905
creditcard_instance,V16,0.5876108
creditcard_instance,V3,0.5158843
creditcard_instance,V21,0.38782188
creditcard_instance,V17,0.38316268
creditcard_instance,V26,0.3660786
creditcard_instance,V7,0.33015126
creditcard_instance,V8,0.31495178
creditcard_instance,V11,0.277209
creditcard_instance,V19,0.2747962
creditcard_instance,V13,0.26974827
creditcard_instance,V15,0.25422803
creditcard_instance,V1,0.25293714
creditcard_instance,V22,0.2322875
creditcard_instance,V28,0.20925407
creditcard_instance,V5,0.2017034
creditcard_instance,V2,0.19508189
creditcard_instance,V6,0.19057803
creditcard_instance,V18,0.18048447
creditcard_instance,V27,0.18040161
creditcard_instance,V25,0.1789173
creditcard_instance,V24,0.17048694
creditcard_instance,V20,0.14253888
creditcard_instance,V9,0.1361462
creditcard_instance,V23,0.12479888
